fecha,no_renovable%,renovable%,variacion_dolar,deuda_millones,anio,mes,pbi_variacion,pbi_valor_millones,ipc,ipca,co2_valor,t_maxima,t_minima,t_promedio,exportacion,importacion,saldo,mercado_diario,precio_total,demanda_mw,demanda_industrial_mw,season,bret_valor_usd,spread,partido_gobernante,guerra_proxima,sucesos_proximos
2021-01-01,158546.45,45575.45,1.2271,1348369.14,2021,1,-0.23,289172,0.0,-0.4,33.43,7.6,1.5,4.55,-883739.48,538317.6499999999,-345421.81999999995,63.6,70.37,608715.931,94.4,Invierno,54.38,6.770000000000003,Partido Socialista Obrero Español (PSOE),0,2
2021-01-02,160236.96,49408.16,1.2271,1348369.14,2021,1,-0.23,289172,0.0,-0.4,33.43,8.0,-1.8,3.1,-60114.97,7830.88,-52284.09,63.6,70.37,680432.407,94.4,Invierno,54.38,6.770000000000003,Partido Socialista Obrero Español (PSOE),0,2
2021-01-03,205287.3,51849.83,1.2296,1348369.14,2021,1,-0.23,289172,0.0,-0.4,33.43,7.6,-2.5,2.55,-27064.08,18728.74,-8335.34,63.6,70.37,684489.215,94.4,Invierno,54.38,6.770000000000003,Partido Socialista Obrero Español (PSOE),0,2
2021-01-04,336009.34,40862.53,1.2296,1348369.14,2021,1,-0.23,289172,0.0,-0.4,33.43,6.6,-0.6,3.0,-17375.72,23422.52,6046.8,63.6,70.37,793625.993,94.4,Invierno,54.38,6.770000000000003,Partido Socialista Obrero Español (PSOE),0,2
2021-01-05,399037.52,44593.17,1.2271,1348369.14,2021,1,-0.23,289172,0.0,-0.4,33.43,6.4,-3.4,1.5,-3156.95,69610.12,66453.17000000001,63.6,70.37,806588.156,94.4,Invierno,54.38,6.770000000000003,Partido Socialista Obrero Español (PSOE),0,2
2021-01-06,311179.88,39711.56,1.2338,1348369.14,2021,1,-0.23,289172,0.0,-0.4,33.43,7.0,-3.2,1.9,-14516.45,35776.04,21259.59,63.6,70.37,700144.564,94.4,Invierno,54.38,6.770000000000003,Partido Socialista Obrero Español (PSOE),0,2
2021-01-07,444063.32,23348.62,1.2276,1348369.14,2021,1,-0.23,289172,0.0,-0.4,33.43,2.5,-0.4,1.05,-3529.51,73955.42000000001,70425.91,63.6,70.37,854323.166,94.4,Invierno,54.38,6.770000000000003,Partido Socialista Obrero Español (PSOE),0,2
2021-01-08,343720.09,20900.31,1.225,1348369.14,2021,1,-0.23,289172,0.0,-0.4,33.43,0.6,-1.8,-0.6,-3814.07,73048.57,69234.5,63.6,70.37,872357.353,94.4,Invierno,54.38,6.770000000000003,Partido Socialista Obrero Español (PSOE),0,2
2021-01-09,262507.99,27972.050000000003,1.225,1348369.14,2021,1,-0.23,289172,0.0,-0.4,33.43,0.0,-1.6,-0.8,-2604.76,71333.37999999999,68728.62000000001,63.6,70.37,773296.979,94.4,Invierno,54.38,6.770000000000003,Partido Socialista Obrero Español (PSOE),0,2
2021-01-10,236886.44,32707.46,1.225,1348369.14,2021,1,-0.23,289172,0.0,-0.4,33.43,4.6,-1.5,1.55,-4777.48,57868.41,53090.94,63.6,70.37,735647.962,94.4,Invierno,54.38,6.770000000000003,Partido Socialista Obrero Español (PSOE),0,2
2021-01-11,315453.24,47060.23,1.2163,1348369.14,2021,1,-0.23,289172,0.0,-0.4,33.43,4.8,-6.0,-0.6,-3641.71,65516.55,61874.84,63.6,70.37,851740.825,94.4,Invierno,54.38,6.770000000000003,Partido Socialista Obrero Español (PSOE),0,2
2021-01-12,362396.73,54656.26,1.2161,1348369.14,2021,1,-0.23,289172,0.0,-0.4,33.43,2.6,-13.0,-5.2,-3327.84,56811.13,53483.29,63.6,70.37,875118.684,94.4,Invierno,54.38,6.770000000000003,Partido Socialista Obrero Español (PSOE),0,2
2021-01-13,358850.39,55704.67,1.2166,1348369.14,2021,1,-0.23,289172,0.0,-0.4,33.43,5.6,-7.9,-1.15,-6398.46,76761.56999999999,70363.11,63.6,70.37,874914.272,94.4,Invierno,54.38,6.770000000000003,Partido Socialista Obrero Español (PSOE),0,2
2021-01-14,329677.73,53858.06999999999,1.2124,1348369.14,2021,1,-0.23,289172,0.0,-0.4,33.43,6.8,-5.5,0.65,-5164.55,76057.58,70893.03,63.6,70.37,873577.23,94.4,Invierno,54.38,6.770000000000003,Partido Socialista Obrero Español (PSOE),0,2
2021-01-15,304421.6,52270.87,1.2123,1348369.14,2021,1,-0.23,289172,0.0,-0.4,33.43,7.2,-5.2,1.0,-4417.8,54846.58,50428.780000000006,63.6,70.37,859355.795,94.4,Invierno,54.38,6.770000000000003,Partido Socialista Obrero Español (PSOE),0,2
2021-01-16,276305.33,57139.15,1.2123,1348369.14,2021,1,-0.23,289172,0.0,-0.4,33.43,10.2,-4.0,3.1,-4820.9400000000005,60942.01,56121.08,63.6,70.37,765002.342,94.4,Invierno,54.38,6.770000000000003,Partido Socialista Obrero Español (PSOE),0,2
